"tk","territory","lat","lon"
"10021","ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ","37.974511","23.7330711"
"10431","ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ ΑΘΗΝΑ","37.9844383","23.7281172"
"10432","ΠΛΑΤΕΙΑ ΒΑΘΗΣ ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑ","37.987244200000006","23.726373100000004"
"10433","ΠΟΛΥΤΕΧΝΕΙΟ ΑΘΗΝΑ","37.989641","23.7275757"
"10434","ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ ΑΘΗΝΑ","37.9934691","23.7275065"
"10435","ΜΕΤΑΞΟΥΡΓΕΙΟ ΑΘΗΝΑ","37.98224729786504","23.715731956733467"
"10436","ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ","37.9844383","23.7281172"
"10437","ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑΣ","37.9844383","23.7281172"
"10438","ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","37.9879692030282","23.723614420877638"
"10439","ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","37.990744955222674","23.723862707834506"
"10440","ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","37.99456769645567","23.724450717178975" 
"10441","ΚΟΛΩΝΟΣ","7.98880671033164","23.71265048820757"
"10442","ΚΟΛΩΝΟΣ","37.99549767796379","23.70411421971442"
"10443","ΣΕΠΟΛΙΑ","38.0045679","23.7160906"
"10444","ΚΟΛΩΝΟΣ","37.9944925","23.7042077"
"10445","ΤΡΕΙΣ ΓΕΦΥΡΕΣ ΑΘΗΝΑ","38.0158537","23.7268584"
"10446","ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ ΚΥΨΕΛΗ","38.002616100000004","23.7334402"
"10447","ΑΘΗΝΑ ΒΟΤΑΝΙΚΟΣ","37.9823979","23.6940037"
"10551","ΠΛΑΤΕΙΑ ΚΛΑΥΘΜΩΝΟΣ","37.9816306","23.728139600000002"
"10552","ΠΛΑΤΕΙΑ ΟΜΟΝΟΙΑ ΜΟΝΑΣΤΗΡΑ","37.9844383","23.7281172"
"10553","ΚΕΡΑΜΕΙΚΟΣ ΑΘΗΝΑ","37.9782036","23.7189366"
"10554","ΨΥΡΡΗ ΑΘΗΝΑ","37.9787307","23.7246486"
"10555","ΜΟΝΑΣΤΗΡΑΚΙ","37.9768364","23.7157623"
"10556","ΠΛΑΤΕΙΑ ΜΗΤΡΟΠΟΛΕΩΣ","37.97436535193605","23.728833999986634"
